room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
4545227,1556,4238907,Shared room,,Montreal,,Ville-Marie,13,4.5,1,1.0,,23.0,,2017-08-10 12:15:58.766472,45.502093,-73.555195,0101000020E6100000C6F99B50886352C078465B9544C04640
14548991,1556,89026826,Shared room,,Montreal,,Le Plateau-Mont-Royal,5,4.5,1,1.0,,25.0,,2017-08-10 12:15:58.763494,45.5067,-73.576746,0101000020E610000053060E68E96452C00D71AC8BDBC04640
18976378,1556,132218343,Shared room,,Montreal,,Rosemont-La Petite-Patrie,6,4.5,3,1.0,,16.0,,2017-08-10 12:15:58.759881,45.570188,-73.571685,0101000020E610000048A7AE7C966452C02C499EEBFBC84640
15812199,1556,82410876,Shared room,,Montreal,,Ville-Marie,2,0.0,1,1.0,,24.0,,2017-08-10 12:15:58.757047,45.496054,-73.590979,0101000020E6100000DC679599D26552C066868DB27EBF4640
14143064,1556,12848069,Shared room,,Montreal,,Le Plateau-Mont-Royal,1,0.0,1,1.0,,21.0,,2017-08-10 12:15:58.753746,45.52078,-73.596176,0101000020E61000003FAA61BF276652C0983446EBA8C24640
14927818,1556,63825310,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,1,1.0,,10.0,,2017-08-10 12:15:56.805164,45.501356,-73.628881,0101000020E6100000DA0418963F6852C0A2D3F36E2CC04640
4881628,1556,2990575,Shared room,,Montreal,,Le Plateau-Mont-Royal,9,4.5,10,1.0,,20.0,,2017-08-10 12:15:56.802406,45.517047,-73.576078,0101000020E61000007C7C4276DE6452C059BF99982EC24640
8266923,1556,43585555,Shared room,,Montreal,,Le Plateau-Mont-Royal,46,4.5,2,1.0,,21.0,,2017-08-10 12:15:56.799540,45.52478,-73.583285,0101000020E6100000D5CF9B8A546552C025CCB4FD2BC34640
14363399,1556,85138132,Shared room,,Montreal,,Mercier-Hochelaga-Maisonneuve,5,4.0,4,1.0,,33.0,,2017-08-10 12:15:56.794811,45.58524,-73.560271,0101000020E61000006C79E57ADB6352C0D027F224E9CA4640
19700958,1556,129748941,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,29.0,,2017-08-10 12:15:56.777599,45.492734,-73.580233,0101000020E6100000D7C39789226552C04AD05FE811BF4640
19734598,1556,121785123,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,25.0,,2017-08-10 12:15:56.771093,45.491509,-73.581366,0101000020E61000006840BD19356552C0475854C4E9BE4640
11795355,1556,32164899,Shared room,,Montreal,,Ville-Marie,29,4.5,2,1.0,,21.0,,2017-08-10 12:15:56.768489,45.494897,-73.582965,0101000020E61000009C6D6E4C4F6552C0BBF1EEC858BF4640
16676621,1556,19699367,Shared room,,Montreal,,Ville-Marie,10,4.5,1,1.0,,29.0,,2017-08-10 12:15:56.765669,45.494639,-73.583606,0101000020E6100000F6EFFACC596552C0BF29AC5450BF4640
6170613,1556,22811012,Shared room,,Montreal,,Rosemont-La Petite-Patrie,3,4.5,2,1.0,,29.0,,2017-08-10 12:15:56.762864,45.549009,-73.582652,0101000020E6100000BC3C9D2B4A6552C0D61A4AED45C64640
